review_id,text,aspect,sentiment,complexity
58,"আমাদের অভিজ্ঞতা খুব খারাপ ছিল, সম্ভবত কর্মচারীরা নতুন হওয়ার কারণে এমনটা হয়েছে।",service,negative,complex
59,"বিল বা খরচ সাধ্যের মধ্যে ছিল, বাকি সব মোটামুটি ঠিকঠাক।",price,positive,medium
60,মনোরম পদ পেয়েছি।,food_quality,positive,simple
61,"রিভিউ দেখে গিয়েছিলাম এবং খাদ্য বাজে, শুক্রবার সন্ধ্যায় গিয়েছিলাম।",food_quality,negative,complex
62,"রান্না যথেষ্ট ছিল, স্বাভাবিক মানের।",food_quality,neutral,medium
63,"সব মিলিয়ে রান্না উপভোগ্য লেগেছে, রাশ আওয়ার ছিল।",food_quality,positive,medium
64,"পরিবারের সবাই পছন্দ করেছে এবং ডিশ অপূর্ব, শুক্রবার সন্ধ্যায় গিয়েছিলাম।",food_quality,positive,complex
65,পরিবেশনটা সন্তোষজনক।,service,positive,simple
66,দ্বিতীয়বার গিয়েছি; খাবার ছিল অসাধারণ এবং খুব দ্রুত সার্ভ করা হয়েছে।,food_quality,positive,complex
67,"যদিও সার্ভিস গ্রহণযোগ্য, তবে স্বচ্ছতা মোটামুটি।",service,positive,mixed
68,"চলনসই, খরচ স্ট্যান্ডার্ড।",price,neutral,medium
69,"যদিও স্বাভাবিক মানের, তবুও পরিবেশ মোটামুটি খারাপ।",ambiance,negative,complex
70,"সাজসজ্জা অপর্যাপ্ত ছিল, খুবই হতাশ হয়েছি।",ambiance,negative,medium
71,এখানে রান্না যথেষ্ট।,food_quality,neutral,simple
72,"সব মিলিয়ে খাদ্য মন্দ লেগেছে, কর্মচারীরা অভিজ্ঞ।",food_quality,negative,medium
73,এখানে ওয়েটার নিরস।,service,negative,simple
74,"চমৎকার ব্যবহার, অন্য কিছু স্বাভাবিক।",service,positive,medium
75,ডিশটা অপর্যাপ্ত।,food_quality,negative,simple
76,দাম একটু বেশি মনে হলেও পরিষ্কার-পরিচ্ছন্নতা চমৎকার ছিল।,price,negative,mixed
77,বিল বা খরচ সন্তোষজনক ছিল।,price,positive,simple
78,নতুন হওয়া সত্ত্বেও পরিষ্কার-পরিচ্ছন্নতা প্রশংসনীয়; বন্ধুদের সাথে গিয়ে ভালো লেগেছে।,cleanliness,positive,complex
79,"প্রথমবার গিয়েছিলাম, খাদ্য চমৎপ্রদ।",food_quality,positive,medium
80,"আমাদের অভিজ্ঞতায় ব্যবহার গড়পড়তা ছিল, কারণ রাশ আওয়ার ছিল।",service,negative,complex
81,"আমাদের অভিজ্ঞতায় পদ স্বাভাবিক ছিল, কারণ অভিজ্ঞ শেফ আছে বলে মনে হয়।",food_quality,neutral,complex
82,"পরিবেশন উপভোগ্য ছিল, সব মিলিয়ে খুব ভালো, অপেক্ষা করতে হয়নি বেশি।",service,positive,complex
83,অসন্তোষজনক খাদ্য ছিল।,food_quality,negative,simple
84,"আশানুরূপ, খাবার স্বাভাবিক।",food_quality,neutral,medium
85,এখানে পরিচ্ছন্নতা যথেষ্ট।,cleanliness,neutral,simple
86,"আমাদের অভিজ্ঞতায় পদ চলনসই ছিল, কারণ তাজা উপকরণ ব্যবহার করে।",food_quality,neutral,complex
87,"খুবই হতাশ হয়েছি এবং কর্মচারী ভালো না, শুক্রবার সন্ধ্যায় গিয়েছিলাম।",service,negative,complex
88,"পরিচ্ছন্ন মনোরম ছিল, দ্বিতীয়বার গিয়েছি।",cleanliness,positive,medium
89,অপর্যাপ্ত সেবা পেয়েছি।,service,negative,simple
90,খরচ একটু বেশি কিন্তু পরিচ্ছন্নতার মান বেশ উন্নত।,price,negative,mixed
91,"যদিও সেবা গ্রহণযোগ্য, তবে রান্না স্বাভাবিক।",service,positive,mixed
92,"অপর্যাপ্ত খাবারের মান, তবে অন্য কিছু গ্রহণযোগ্য।",food_quality,negative,medium
93,এখানে মূল্য মন্দ।,price,negative,simple
94,"সব মিলিয়ে খাবার নিম্নমানের লেগেছে, ঠিকমতো রান্না হয়নি।",food_quality,negative,medium
95,সেবা খারাপ।,service,negative,simple
96,এখানে পরিবেশ মন্দ।,ambiance,negative,simple
97,"নিরস ওয়েটার, তবে অন্য কিছু দারুণ।",service,negative,medium
98,পরিবেশ বেশ পরিষ্কার-পরিচ্ছন্ন পেয়েছি।,cleanliness,positive,simple
99,"আমাদের অভিজ্ঞতায় প্রাইস ভালো না ছিল, কারণ অভিজ্ঞ শেফ আছে বলে মনে হয়।",price,negative,complex
100,বিলের পরিমাণ অনেক বেশি ছিল এবং খাবার আসতেও প্রচুর সময় লেগেছে।,price,neutral,medium
101,"অভিজ্ঞ শেফ আছে বলে মনে হয় জন্য খাবার গ্রহণযোগ্য, পরিবারের সবাই পছন্দ করেছে।",food_quality,positive,complex
102,প্রাইস চমৎকার।,price,positive,simple
103,"আমাদের অভিজ্ঞতা অনুযায়ী খাবারের মান খুব একটা ভালো ছিল না, যদিও সেখানে অভিজ্ঞ শেফ আছেন বলে মনে হয়।",price,positive,complex
104,খাবারের পরিমাণ কম হওয়ায় আমরা হতাশ হয়েছি। ,food_quality,negative,complex
105,ওয়েটারের সেবা চমৎকার ছিল,service,positive,simple
106,অপর্যাপ্ত খাবার পেয়েছি।,food_quality,negative,simple
107,"বন্ধুদের সাথে গিয়েছিলাম এবং ওয়েটার অসাধারণ, প্রচুর ভিড় ছিল।",service,positive,complex
108,আমাদের বিল দিতে বা অপেক্ষা করতে তেমন সমস্যা হয়নি।,price,negative,medium
109,রেস্তোরাঁর আলোকসজ্জা প্রশংসনীয়। ,ambiance,positive,simple
110,"অপর্যাপ্ত সার্ভিস, তবে অন্য কিছু সাধারণ।",service,negative,medium
111,"টাকার অপচয়, পরিবেশ বাজে।",ambiance,negative,medium
112,"যদিও গড়পড়তা, তবুও পরিচ্ছন্ন গ্রহণযোগ্য।",cleanliness,positive,complex
113,"ওয়েটার চমৎকার ছিল, প্রথমবার গিয়েছিলাম।",service,positive,medium
114,"খাবার চমৎপ্রদ ছিল, অনেকদিন পর গিয়েছিলাম।",food_quality,positive,medium
115,তবে খাবারের স্বাদ অনুযায়ী দামটা একটু বেশিই মনে হয়েছে।,price,positive,simple
116,বিলের পরিমাণটি যুক্তিযুক্ত ছিল। ,price,positive,simple
117,"সাজসজ্জা যথেষ্ট ভালো ছিল, সবাইকে রেকমেন্ড করবো, দ্রুত সার্ভ করেছে।",ambiance,positive,complex
118,"সব মিলিয়ে দাম ঠিক মনে হলেও, রান্নাটা ভালো হয়নি।",price,positive,medium
119,"অসন্তোষজনক স্বচ্ছতা, তবে অন্য কিছু স্ট্যান্ডার্ড।",cleanliness,negative,medium
120,খরচটা উপভোগ্য।,price,positive,simple
121,দাম কিছুটা বেশি হলেও তা মানসম্মত এবং আশানুরূপ ছিল।,price,neutral,complex
122,"রিভিউ দেখে গিয়েছিলাম এবং খাবারের মান ভালো না, প্রচুর ভিড় ছিল।",food_quality,negative,complex
123,মান মোটামুটি চলনসই হলেও আলোকসজ্জা বেশ খারাপ ছিল।,ambiance,negative,complex
124,অসহ্য পরিবেশ ছিল।,ambiance,negative,simple
125,"রিভিউ দেখে গিয়েছিলাম, রান্না অসন্তোষজনক।",food_quality,negative,medium
126,"সুন্দর খাদ্য, তবে অন্য কিছু মন্দ।",food_quality,positive,medium
127,দুর্বল কর্মচারী ছিল।,service,negative,simple
128,"প্রথমবার গিয়েছিলাম, সার্ভিস সন্তোষজনক।",service,positive,medium
129,"যদিও স্বাভাবিক মানের, তবুও পদ গ্রহণযোগ্য।",food_quality,positive,complex
130,"তাই আর যাব না এবং পরিস্থিতি অসহ্য, বুকিং করে গিয়েছিলাম।",ambiance,negative,complex
131,প্রাইসটা বেশি।,price,negative,simple
132,"সব মিলিয়ে স্বাদ সুস্বাদু লেগেছে, কর্মচারীরা অভিজ্ঞ।",food_quality,positive,medium
133,"সার্ভিস যেমন বিরক্তিকর ছিল, রান্নার মানও তেমনই খারাপ।",service,negative,mixed
134,"পদ নিরস ছিল, অনেক প্রত্যাশা ছিল।",food_quality,negative,medium
135,"আমাদের অভিজ্ঞতায় আলো চমৎপ্রদ ছিল, কারণ অভিজ্ঞ শেফ আছে বলে মনে হয়।",ambiance,positive,complex
136,সন্তোষজনক সার্ভিস ছিল।,service,positive,simple
137,"স্ট্যান্ডার্ড সার্ভিস, তবে অন্য কিছু খারাপ।",service,neutral,medium
138,"বন্ধুদের সাথে গিয়েছিলাম, পরিস্থিতি সন্তোষজনক।",ambiance,positive,medium
139,"দাম বেশি জন্য বিল চমৎপ্রদ, আবার যাবো নিশ্চিত।",price,positive,complex
140,"মনোরম পরিষ্কার-পরিচ্ছন্নতা, তে অন্য কিছু নিরস।",cleanliness,positive,medium
141,"টাকার অপচয়, ব্যবহার দুর্বল।",service,negative,medium
142,বিলের পরিমাণটা সাশ্রয়ী ছিল।,price,positive,simple
143,মূল্যটা দারুণ।,price,positive,simple
144,পরিচ্ছন্ন মন্দ।,cleanliness,negative,simple
145,"রিভিউ দেখে গিয়েছিলাম এবং পরিষ্কার জঘন্য, প্রচুর ভিড় ছিল।",cleanliness,negative,complex
146,"সব মিলিয়ে সার্ভিস বাজে লেগেছে, নতুন বলে হয়তো।",service,negative,medium
147,সন্তোষজনক খাবার ছিল।,food_quality,positive,simple
148,"মাঝারি পদ, তবে অন্য কিছু মন্দ।",food_quality,neutral,medium
149,"সব মিলিয়ে খাবার মন্দ লেগেছে, অভিজ্ঞ শেফ আছে বলে মনে হয়নি ।",food_quality,negative,medium
150,"আমাদের অভিজ্ঞতায় প্রাইস একটু খারাপ ছিল, কারণ দাম বেশি।",price,negative,complex
151,"আবহাওয়া গ্রহণযোগ্য ছিল, সবাইকে রেকমেন্ড করবো।",ambiance,positive,medium
152,"কর্মচারীরা অভিজ্ঞ জন্য কর্মচারী অগ্রহণযোগ্য, আশা করেছিলাম ভালো হবে।",service,negative,complex
153,এখানে রান্না দারুণ।,food_quality,positive,simple
154,আমরা খাবার দারুণ পেয়েছি এবং অপেক্ষা করতে হয়নি বেশি।,food_quality,positive,medium
155,পরিবেশ অপর্যাপ্ত।,ambiance,negative,simple
156,"রান্না ভালো ছিল, প্রথমবার গিয়েছিলাম।",food_quality,positive,medium
157,"পরিস্থিতি সন্তোষজনক ছিল, কিন্তু পদ সন্তোষজনক।",ambiance,positive,mixed
158,"সব মিলিয়ে খুব ভালো, ওয়েটার ভালো।",service,positive,medium
159,গড় স্বাদ পেয়েছি।,food_quality,neutral,simple
160,"খাদ্য গ্রহণযোগ্য ছিল, দ্বিতীয়বার গিয়েছি।",food_quality,positive,medium
161,মান সাধারণ হওয়া সত্ত্বেও খরচটা অনেক বেশি ছিল।,price,negative,complex
162,গ্রহণযোগ্য ওয়েটার পেয়েছি।,service,positive,simple
163,সন্তোষজনক প্রাইস ছিল।,price,positive,simple
164,"যদিও ওয়েটার সন্তোষজনক, তবে স্বচ্ছতা আশানুরূপ।",service,positive,mixed
165,এখানে স্বচ্ছতা মনোরম।,cleanliness,positive,simple
166,"খরচ বেশ সাশ্রয়ী, তবে অন্যান্য সবকিছুই গড়পড়তা মানের।",price,positive,medium
167,"আমাদের অভিজ্ঞতায় খাবার গ্রহণযোগ্য ছিল না, কারণ ঠিকমতো রান্না হয়নি।",food_quality,neutral,complex
168,"পরিমাণ কম ছিল এবং পরিবেশ বিরক্তিকর, খুবই হতাশ হয়েছি।",ambiance,negative,complex
169,পরিবেশটা চলনসই ছিল এবং পরিচ্ছন্নতা বেশ মনোরম।,ambiance,positive,mixed
170,মাঝারি পরিষ্কার-পরিচ্ছন্নতা পেয়েছি।,cleanliness,neutral,simple
171,"সব মিলিয়ে কর্মচারী মন্দ লেগেছে, অভিজ্ঞ শেফ আছে বলে মনে হয়নি।",service,negative,medium
172,"টাকা অসন্তোষজনক ছিল, আশা করেছিলাম ভালো হবে, শুক্রবার সন্ধ্যায় গিয়েছিলাম।",price,negative,complex
173,"পরিস্থিতি বিরক্তিকর ছিল, খুবই হতাশ হয়েছি।",ambiance,negative,medium
174,"উপভোগ্য স্বাদ, তবে অন্য কিছু স্বাভাবিক।",food_quality,positive,medium
175," খাবারের পরিমাণ কম হলেও পরিবেশন ছিল চমৎকার, তাই দ্বিতীয়বার গিয়েছি।",service,positive,complex
176,আমরা সেবা দুর্বল পেয়েছি এবং দ্রুত সার্ভ হয়নি।,service,negative,medium
177,"কর্মচারী গড় ছিল, আরও ভালো হতে পারত।",service,neutral,medium
178,এখানে দাম ভালো।,price,positive,simple
179,"সব মিলিয়ে খুব ভালো এবং খাবারের মান শ্রেষ্ঠ, বুকিং করে গিয়েছিলাম।",food_quality,positive,complex
180,"চলনসই, পরিবেশ মোটামুটি।",ambiance,neutral,medium
181,"সব মিলিয়ে সেবা ভালো লেগেছে, রাশ আওয়ার ছিল।",service,positive,medium
182,"যদিও স্বাভাবিক মানের, তবুও কর্মচারী মন্দ।",service,negative,complex
183,"সেবা ভয়াবহ ছিল, খুবই হতাশ হয়েছি",service,negative,complex
184,আবহাওয়াটা চমৎকার।,ambiance,positive,simple
185,"মনোরম আবহাওয়া, তবে অন্য কিছু অসন্তোষজনক।",ambiance,positive,medium
186,মনোরম আবহাওয়া পেয়েছি।,service,positive,simple
187,"চমৎপ্রদ টাকা, তবে অন্য কিছু মোটামুটি।",price,positive,medium
188,মন্দ স্বাদ ছিল।,food_quality,negative,simple
189,"স্বচ্ছতা নিম্নমানের ছিল, কিন্তু ব্যবহার বিরক্তিকর।",cleanliness,negative,mixed
190,আমরা সার্ভিস উপভোগ্য পেয়েছি এবং অপেক্ষা করতে হয়নি বেশি।,service,positive,medium
191,আলোকসজ্জা চমৎকার হলেও খাবারের মান ছিল সাধারণ বা গ্রহণযোগ্য।,ambiance,positive,mixed
192,"আমরা বুকিং করে গিয়েছিলাম, কিন্তু খাবারের দামের তুলনায় মান দুর্বল লেগেছে।",price,negative,medium
193,"কোনো অভিযোগ নেই, ব্যবহার স্বাভাবিক।",service,neutral,medium
194,"তাই আর যাব না, স্বাদ মন্দ।",food_quality,negative,medium
195,বিলের পরিমাণটা অনাকাঙ্ক্ষিত বা বিরক্তিকর ছিল।,price,negative,simple
196,রান্না মন্দ।,food_quality,negative,simple
197,রান্নার মান বেশ খারাপ ছিল।,food_quality,negative,simple
198,"প্রাইস গ্রহণযোগ্য ছিল, কিন্তু পরিচ্ছন্ন ভালো।",price,neutral,mixed
199,"পরিবারের সবাই পছন্দ করেছে, সেবা ভালো।",service,positive,medium
200,"প্রথমবার গিয়েছিলাম, রান্না দারুণ।",food_quality,positive,medium
201,মূল্যের তুলনায় মান খারাপ,price,negative,simple
202,খাবারের দাম সাশ্রয়ী ছিল এবং আলোকসজ্জা চমৎকার ছিল,price,positive,mixed
203,সময় নষ্ট হয়েছে কারণ খাবারটি ছিল বিস্বাদ,food_quality,negative,medium
204,পরিচ্ছন্নতা দারুণ ছিল সবাইকে আসার অনুরোধ করব,cleanliness,positive,medium
205,সবাইকে আসার অনুরোধ করব এখানকার কর্মীদের ব্যবহার খুব ভালো,service,positive,medium
206,খুবই হতাশ হয়েছি খাবারের স্বাদ একদম ভালো না,food_quality,negative,medium
207,খাবারটি চমৎকার ছিল,food_quality,positive,simple
208,নতুন হিসেবে খাবারটি মোটামুটি সন্তোষজনক ছিল,food_quality,positive,medium
209,দাম অতিরিক্ত বেশি এবং কর্মীদের ব্যবহার সাধারণ মানের,price,negative,mixed
210,ব্যবহার মোটেও ভালো ছিল না,service,negative,simple
211,পরিচ্ছন্নতা সন্তোষজনক হলেও অন্যান্য বিষয় ছিল সাধারণ,cleanliness,positive,medium
212,খাবার সুস্বাদু ছিল অবশ্যই আবার যাব,food_quality,positive,medium
213,পরিবেশ উপভোগ্য ছিল তবে বাকি সবকিছু ছিল সাধারণ মানের,ambiance,positive,medium
214,ওয়েটারের ব্যবহার ভালো ছিল তাই আবার যাওয়ার ইচ্ছে আছে,service,positive,medium
215,খুবই হতাশ হয়েছি দাম অনুযায়ী সেবার মান খুবই খারাপ,price,negative,medium
216,স্রেফ টাকার অপচয় কর্মীদের ব্যবহারও খুব খারাপ,service,negative,medium
217,ব্যবহার মোটামুটি ভালো ছিল,service,neutral,simple
218,খাবার ভালো ছিল না তবে দাম হাতের নাগালে ছিল,food_quality,negative,mixed
219,পরিবেশন ব্যবস্থা ছিল বিরক্তিকর এবং খাবার আসতে অনেক দেরি হয়েছে,service,negative,medium
220,এখানকার পরিবেশন ব্যবস্থা চমৎকার,service,positive,simple
221,খাবার পরিবেশন দ্রুত হলেও পরিবেশ একদম ভালো ছিল না,ambiance,negative,medium
222,বন্ধুদের সাথে গিয়েছিলাম কর্মীদের ব্যবহার দারুণ হলেও খাবার আসতে দেরি হয়েছে,service,positive,complex
223,"কর্মচারী ভালো ছিলেন, কিন্তু দাম তুলনামূলক বেশি।",service,neutral,mixed
224,"কর্মচারী বন্ধুসুলভ ছিলেন, প্রথমবার গিয়ে ভালো লেগেছে।",service,positive,medium
225,আবহাওয়া বা পরিবেশ সন্তোষজনক ছিল না।,ambiance,negative,simple
226,"খুবই হতাশ হয়েছি, খাবারের স্বাদ একদমই ভালো নয়।",food_quality,negative,medium
227,আমরা শুক্রবার সন্ধ্যায় গিয়েছিলাম এবং সেখানকার পরিস্থিতি বেশ খারাপ ছিল।,ambiance,negative,medium
228,"আবহাওয়া চমৎকার ছিল, আবার যাব নিশ্চিত; তবে খাবার আসতে অনেক সময় লেগেছে।",ambiance,positive,complex
229,এখানকার খাবার বেশ মুখরোচক।,food_quality,positive,simple
230,খাবারের স্বাদ মোটামুটি গ্রহণযোগ্য ছিল।,food_quality,neutral,simple
231,"আমাদের অভিজ্ঞতায় কর্মচারী অনবদ্য ছিল, সম্ভবত নতুন বলেই তারা বেশ আন্তরিক।",service,positive,complex
232,"আলো কম ছিল, তবে অন্য সবকিছুই প্রত্যাশিত ছিল।",ambiance,negative,medium
233,ওয়েটারের ব্যবহার ভালো ছিল এবং আমাদের খুব বেশি অপেক্ষা করতে হয়নি।,service,positive,medium
234,"খাবার মানসম্মত ছিল না, তবে পরিচ্ছন্নতা বেশ ভালো ছিল।",food_quality,negative,mixed
235,"পরিবেশ চমৎকার ছিল, বন্ধুদের সাথে দারুণ সময় কাটিয়েছি।",ambiance,positive,medium
236,"খাবারের মান ভালো ছিল, পরিবারের সবাই পছন্দ করেছে; তবে খাবার আসতে অনেক সময় লেগেছে।",food_quality,positive,complex
237,এখানকার ব্যবহার মোটেও সন্তোষজনক নয়।,service,negative,simple
238,"দাম আমাদের বাজেটের মধ্যেই ছিল, তবে খাবার আসতে অনেক সময় লেগেছে।",price,positive,medium
239,"অভিজ্ঞ শেফ থাকায় রান্না খুব সুস্বাদু ছিল, প্রথমবার গিয়েই ভালো লেগেছে।",food_quality,positive,complex
240,"খরচ অনুযায়ী মান ভালো ছিল না, যেমনটা আশা করেছিলাম; শুক্রবার সন্ধ্যায় গিয়ে হতাশ হয়েছি।",price,negative,complex
241,এখানকার পরিবেশ মানসম্মত নয়।,ambiance,negative,simple
242,বিলের পরিমাণ অতিরিক্ত ছিল এবং সার্বিক পরিস্থিতিও ভালো ছিল না।,price,negative,mixed
243,খাবারের মান এবং ব্যবহার—উভয়ই খুব খারাপ ছিল।,food_quality,negative,mixed
244,"আশা করেছিলাম ভালো হবে, কিন্তু দাম অনুযায়ী মান সন্তোষজনক নয়।",price,negative,medium
245,এখানকার পরিচ্ছন্নতা প্রত্যাশা অনুযায়ী ভালো।,cleanliness,neutral,simple
246,আলোটা নিম্নমানের।,ambiance,negative,simple
247,"সব মিলিয়ে খাবারের মান উপভোগ্য লেগেছে, তাজা উপকরণ ব্যবহার করে।",food_quality,positive,medium
248,"অভিজ্ঞ শেফ আছেন মনে হলেও পরিচ্ছন্নতা খুব একটা ভালো ছিল না, অথচ অনেক প্রত্যাশা ছিল।",cleanliness,negative,complex
249,পরিবেশন পদ্ধতি খুব বাজে ছিল।,service,negative,simple
250,সবকিছু গড়পড়তা হলেও ব্যবহার অতুলনীয় ছিল।,service,positive,complex
251,স্বাদটা মোটামুটি।,food_quality,neutral,simple
252,খাবারটা চলনসই।,food_quality,neutral,simple
253,"সব মিলিয়ে খুব ভালো এবং স্বচ্ছতা সেরা, প্রচুর ভিড় ছিল।",cleanliness,positive,complex
254,পরচ্ছন্নতা সন্তোষজনক হলেও অন্যান্য দিকগুলো বেশ দুর্বল ছিল।,cleanliness,positive,medium
255,আবহাওয়া খারাপ থাকা সত্ত্বেও আমাদের খুব বেশি অপেক্ষা করতে হয়নি।,ambiance,negative,medium
256,"দ্বিতীয়বার গিয়েছি, খরচ বেশ সাশ্রয়ী ছিল।",price,positive,medium
257,এখানকার পরিচ্ছন্নতা মোটামুটি মানের।,cleanliness,neutral,simple
258,"রান্না ঠিকমতো না হওয়ায় পরিবেশটা একটু খারাপ লেগেছে, অথচ আরও ভালো আশা করেছিলাম।",ambiance,negative,complex
259,খাবার সন্তোষজনক না হওয়ায় আমরা সরাসরি চলে গিয়েছিলাম।,food_quality,negative,medium
260,খাবারের মান গড়পড়তা ছিল।,food_quality,neutral,simple
261,এখানকার প্রতিটি আইটেম বেশ চমৎকার।,food_quality,positive,simple
262,"খাবার খুবই নিম্নমানের ছিল, পুরোপুরি সময়ের অপচয়।",food_quality,negative,medium
263,"দাম অনুযায়ী মান খারাপ ছিল, তবে অন্য সবকিছু মোটামুটি গড়পড়তা।",price,negative,medium
264,পরিবেশটা বেশ আনন্দদায়ক ছিল।,ambiance,positive,simple
265,"পরিবেশন পদ্ধতি পর্যাপ্ত ছিল না, তাই আমি আর সেখানে যাব না।",service,negative,medium
266,আলোর ব্যবস্থা উপভোগ্য হলেও খাবার আসতে অনেক দেরি হয়েছে।,ambiance,positive,medium
267,"সব মিলিয়ে বেশ ভালো এবং খাবারের মানও যথেষ্ট উন্নত, তবে খাবার পরিবেশনে অনেক সময় লেগেছে।",food_quality,positive,complex
268,মান স্বাভাবিক এবং ব্যবহারও গড়পড়তা।,service,neutral,medium
269,"যদিও আরও ভালো হতে পারত, তবে পরিচ্ছন্নতা একেবারেই জঘন্য ছিল।",cleanliness,negative,complex
